DB03843	[H]C([H])=O
DB03844	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C=CC=C1F
DB03845	[H][C@@]1(C[C@]([H])(N=[N+]=[N-])[C@@]([H])(COP([O-])(=O)OP([O-])(=O)OP(O)(=O)OP([O-])(=O)OP([O-])(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O1)N1C=C(C)C([O-])=NC1=O
DB03846	[H]N1C(=O)N(C=C(CO)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
DB03847	N[C@@H](CC(C(O)=O)C(O)=O)C(O)=O
DB03848	O[S@@](=O)C1=CC=CC=C1
DB03849	[H][C@@]1(CC[C@](CC1)(C#N)C1=CC(OC2CCCC2)=C(OC)C=C1)C(O)=O
DB03850	[H]\C(C[C@@]([H])(OC)[C@@]([H])(C)C(=O)CC[C@]([H])(C)[C@]([H])(C[C@]1([H])OC(=O)C[C@@]([H])(O)C[C@]([H])(O)CC(=O)[C@]([H])(C)[C@]([H])(OC)C2=COC(=N2)C2=COC(=N2)C2=COC(=N2)\C([H])=C([H])\CC[C@@]1([H])C)OC)=C(\[H])N(C)CO
DB03854	NCCCCCN
DB03855	[H][C@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)NO
DB03856	NCCC[C@@](N)(C(F)F)C(O)=O
DB03857	OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1S
DB03859	OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O
DB03860	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCCC(=O)N(C)CCCC)[C@@]21[H]
DB03861	[H]N([C@H]1N([H])C[C@H](CO)[C@H](O)[C@@H]1O)C(C)=O
DB03862	OC[C@H]1ONC[C@@H](O)[C@@H]1O
DB03863	CO[C@@H]1[C@@H](O)O[C@@H](C)[C@@H](O)[C@H]1O
DB03864	OC[C@@H](O)CS
DB03865	NC(=[NH2+])C1=CC2=C(NC(=C2)C2=CC=CC(=C2O)C2=CC=CC=C2)C=C1Cl
DB03866	[H][C@@](CCCCC)(OO)\C=C\[C@@]1([H])[C@@]2([H])C[C@]([H])(OO2)[C@]1([H])C\C=C/CCCC(O)=O
DB03867	N[C@@H](CC1=CC(=C(O)C=C1)[N+]([O-])=O)C(O)=O
DB03868	O[C@@H]1C[C@@](O)(CC(=O)[C@H]1O)C(O)=O
DB03869	[H]N([H])[C@@H](CO)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H]
DB03870	[H][C@@]1(CO)O[C@@]([H])(O[C@@]2([H])[C@]([H])(O)CO[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB03871	C1=CN(C=N1)[Ru++]123[N]4=CC=CC=C4C4=CC=CC=[N]14.C1=CC(C4=[N]2C=CC=C4)=[N]3C=C1
DB03874	CN(C)CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
DB03876	NC(=[NH2+])C1=CC2=C(S1)N=CC=C2
DB03877	CCN[C@H]1CN(CCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DB03878	CC1=CC=C(NC(=O)C2=CC=CN=C2)C=C1NC1=NC=CC(=N1)C1=CC=CN=C1
DB03879	CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O
DB03880	[H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)[C@]([H])(CSC1=CC=CS1)C(=O)NO)C(=O)NC
DB03881	[H]N1C=C([C@H]2[C@H](O)[C@H](O)[C@@H](CSC)[N+]2([H])[H])C2=C1C(=O)N=CN2[H]
DB03884	OC(=O)C(=O)CC1=CC=CC=C1
DB03886	C[C@@H](O)[C@@H](O)C1=CN=C2N=C(N)NC(=O)C2=N1
DB03887	[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=NC=NC(N)=C23)[C@]([H])(O)[C@]1([H])O
DB03888	CN(CCCCCCOC1=CC2=C(C=C1)C(=NN2C)C1=CC=C(Br)C=C1)CC=C
DB03889	N[C@@H](CCC(=O)N[C@@H](CS[C@H](O)N(O)C1=CC=C(Br)C=C1)C(=O)NCC(O)=O)C(O)=O
DB03890	O=C[C@@]([H])(C(C)C)[C@]1([H])N(CC[C@@]1([H])NS(=O)(=O)C)C(=O)\C=C\CN1CCCCC1
